2.09.02.01	Компьютерные системы и комплексы
2.09.02.02	Компьютерные сети
2.09.02.03	Программирование в компьютерных системах
2.09.02.04	Информационные системы (по отраслям)
2.09.02.05	Прикладная информатика (по отраслям)
2.09.03.01	Информатика и вычислительная техника
2.09.03.02	Информационные системы и технологии
2.09.03.03	Прикладная информатика
2.09.03.04	Программная инженерия
2.09.05.01	Применение и эксплуатация автоматизированных систем специального назначения
2.10.02.01	Организация и технология защиты информации
2.10.03.01	Информационная безопасность
2.10.05.01	Компьютерная безопасность
2.10.05.02	Информационная безопасность телекоммуникационных систем
2.10.05.03	Информационная безопасность автоматизированных систем
2.10.05.04	Информационно-аналитические системы безопасности
2.10.05.05	Безопасность информационных технологий в правоохранительной сфере
2.10.05.06	Криптография
2.10.05.07	Противодействие техническим разведкам
1.01.03.01	Математика
1.01.03.02	Прикладная математика и информатика
1.01.03.03	Механика и математическое моделирование
1.01.03.04	Прикладная математика
1.01.03.05	Статистика
1.01.05.01	Фундаментальные математика и механика
1.01.06.01	Математика и механика
1.02.03.01	Математика и компьютерные науки
1.02.03.02	Фундаментальная информатика и информационные технологии
1.02.03.03	Математическое обеспечение и администрирование информационных систем
1.02.06.01	Компьютерные и информационные науки
